"aid","Latitude","Longitude","Habitat_WWF","class_description","metric","buff_dist_km","buff_metric","value_median","sp_name","sp_ab","sp_pa"
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",16,"cpland_16",22.7003541485161,"sppD",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",16,"cpland_16",22.7003541485161,"sppE",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",16,"cpland_16",22.7003541485161,"sppF",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",16,"cpland_16",22.7003541485161,"sppG",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",16,"cpland_16",22.7003541485161,"sppH",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",16,"cpland_16",22.7003541485161,"sppI",3,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",16,"cpland_16",22.7003541485161,"sppJ",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",16,"cpland_16",22.7003541485161,"sppK",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",2,"cpland_2",30.5155791532765,"sppA",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",2,"cpland_2",30.5155791532765,"sppB",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",2,"cpland_2",30.5155791532765,"sppC",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",2,"cpland_2",30.5155791532765,"sppD",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",2,"cpland_2",30.5155791532765,"sppE",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",2,"cpland_2",30.5155791532765,"sppF",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",2,"cpland_2",30.5155791532765,"sppG",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",2,"cpland_2",30.5155791532765,"sppH",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",2,"cpland_2",30.5155791532765,"sppI",3,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",2,"cpland_2",30.5155791532765,"sppJ",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",2,"cpland_2",30.5155791532765,"sppK",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",4,"cpland_4",25.1240188383046,"sppA",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",4,"cpland_4",25.1240188383046,"sppB",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",4,"cpland_4",25.1240188383046,"sppC",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",4,"cpland_4",25.1240188383046,"sppD",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",4,"cpland_4",25.1240188383046,"sppE",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",4,"cpland_4",25.1240188383046,"sppF",0,0
